# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	10596
#@/user_id	fwar34_sync
a 	啊	c=7 d=0.803193 t=10596
hai wang 	還往	c=1 d=2.56129e-06 t=10596
hai xu yao 	還需要	c=1 d=5.6445e-08 t=10596
hai yao 	還要	c=7 d=0.685294 t=10596
hai you 	還有	c=10 d=0.577083 t=10596
hai you ge 	還有個	c=1 d=1.93578e-06 t=10596
hai zai 	還在	c=7 d=0.461277 t=10596
hai zheng zai 	還正在	c=1 d=0.12307 t=10596
han shu 	函數	c=8 d=0.00771646 t=10596
hang 	行	c=1 d=0.00733572 t=10596
hang shu 	行數	c=1 d=5.2502e-09 t=10596
hao 	好	c=12 d=0.690734 t=10596
hao 	號	c=5 d=0.514253 t=10596
hao ba 	好吧	c=2 d=0.324652 t=10596
hao de 	好的	c=18 d=0.98919 t=10596
hao duo 	好多	c=0 d=0.00652193 t=10596
hao duo ci 	好多次	c=1 d=0.0655462 t=10596
hao ji ge 	好幾個	c=1 d=0.00128115 t=10596
hao le 	好了	c=2 d=0.0821892 t=10596
hao ma 	號碼	c=11 d=0.150682 t=10596
hao shi 	耗時	c=1 d=0.995012 t=10596
hao xiang 	好像	c=16 d=0.924193 t=10596
hao zhe 	好着	c=2 d=0.000939653 t=10596
he 	和	c=51 d=2.36548 t=10596
he bing 	合併	c=9 d=2.31967 t=10596
he bing le 	合併了	c=3 d=1.17509 t=10596
he he he 	呵呵呵	c=1 d=0.790571 t=10596
he le 	合了	c=1 d=0.0587185 t=10596
hei 	黑	c=1 d=0.138761 t=10596
hei ping 	黑屏	c=2 d=0.00524752 t=10596
hen 	很	c=0 d=0.0190139 t=10596
hen chang 	很長	c=2 d=1.00253 t=10596
hen duan 	很短	c=1 d=0.214381 t=10596
hen fei jin 	很費勁	c=1 d=0.191092 t=10596
hen hao de 	很好的	c=0 d=0.0822835 t=10596
hen jian dan 	很簡單	c=2 d=0.392851 t=10596
hen ka 	很卡	c=1 d=0.00134011 t=10596
hen qi guai 	很奇怪	c=1 d=3.27236e-06 t=10596
hen zao 	很早	c=2 d=0.351692 t=10596
hou 	後	c=20 d=1.38016 t=10596
hou lai 	後來	c=7 d=0.416916 t=10596
hou mian 	後面	c=1 d=0.00442715 t=10596
hou sha che 	後剎車	c=1 d=0.778801 t=10596
hou xu 	後續	c=11 d=0.932394 t=10596
hou zhui 	後綴	c=1 d=2.82431e-09 t=10596
hu 	呼	c=1 d=5.30085e-06 t=10596
hu jin lai 	呼進來	c=1 d=1.25621e-07 t=10596
hu ru 	呼入	c=6 d=0.470011 t=10596
hua 	化	c=6 d=0.701426 t=10596
hua 	滑	c=0 d=0.0847894 t=10596
hua 	話	c=19 d=0.348387 t=10596
hua le 	花了	c=1 d=0.946485 t=10596
hua wen 	華文	c=1 d=0.666977 t=10596
huan 	換	c=1 d=0.865022 t=10596
huan cheng 	換成	c=2 d=0.025745 t=10596
huan ge 	換個	c=1 d=3.73694e-09 t=10596
huan hao 	換好	c=1 d=0.97531 t=10596
huan hao le 	換好了	c=1 d=0.00101791 t=10596
huan jing 	環境	c=38 d=1.4909 t=10596
huan le 	換了	c=1 d=1 t=10596
huan shang qu 	換上去	c=1 d=0.336216 t=10596
huan xia 	換下	c=0 d=0.0292293 t=10596
huan yuan 	還原	c=1 d=0.0800583 t=10596
hui 	回	c=1 d=0.0689068 t=10596
hui 	會	c=38 d=1.46795 t=10596
hui ba 	會把	c=2 d=0.146238 t=10596
hui chu xian 	會出現	c=1 d=0.031117 t=10596
hui diao 	回調	c=1 d=0.0259911 t=10596
hui fan hui 	會返回	c=1 d=0.000520875 t=10596
hui fu 	回覆	c=3 d=2.61683 t=10596
hui fu 	恢復	c=2 d=0.00370014 t=10596
hui ge 	回個	c=1 d=8.00992e-08 t=10596
hui lai 	回來	c=3 d=0.944389 t=10596
hui qian 	會前	c=1 d=0.0140519 t=10596
hui qu 	回去	c=0 d=0.0927743 t=10596
hui qu 	會去	c=1 d=0.0337087 t=10596
hui qu le 	回去了	c=1 d=0.932394 t=10596
hui tong zhi 	會通知	c=1 d=0.00166156 t=10596
hui tui 	回退	c=16 d=1.58428 t=10596
hui tui ba 	回退吧	c=1 d=0.449329 t=10596
hui tui le 	回退了	c=2 d=0.585977 t=10596
hui yi 	會議	c=93 d=3.46761 t=10596
hui yi li 	會議裏	c=1 d=0.113608 t=10596
hui yi qiao 	會議橋	c=1 d=0.000765486 t=10596
hui yi zhong 	會議中	c=1 d=0.0177743 t=10596
hui you 	會有	c=1 d=1.88311e-05 t=10596
hui zhong 	會中	c=7 d=0.831187 t=10596
hun luan 	混亂	c=2 d=1.18851e-08 t=10596
hun yin 	混音	c=6 d=0.0544866 t=10596
huo 	或	c=1 d=0.085435 t=10596
huo qu 	獲取	c=3 d=0.00467746 t=10596
huo zhe 	或者	c=22 d=0.844704 t=10596
ji 	即	c=1 d=0.00272578 t=10596
ji 	急	c=1 d=0.0109701 t=10596
ji 	機	c=5 d=0.23891 t=10596
ji 	級	c=1 d=3.56495e-05 t=10596
ji ben 	基本	c=5 d=0.0819754 t=10596
ji ben shang 	基本上	c=1 d=0.537944 t=10596
ji bie 	級別	c=1 d=0.0122161 t=10596
ji cheng 	繼承	c=4 d=0.0220945 t=10596
ji chu 	基礎	c=1 d=0.00900478 t=10596
ji ci 	幾次	c=1 d=2.23822e-08 t=10596
ji de 	記得	c=3 d=0.264477 t=10596
ji dian 	幾點	c=0 d=0.00434998 t=10596
ji ge 	幾個	c=1 d=0.0174224 t=10596
ji hua 	計劃	c=1 d=2.75411e-07 t=10596
ji huo 	激活	c=4 d=0.0476515 t=10596
ji jie 	季節	c=1 d=0.0121552 t=10596
ji lei 	基類	c=1 d=0.00755912 t=10596
ji lu 	記錄	c=1 d=0.00355287 t=10596
ji nian bei 	紀念碑	c=1 d=0.0117959 t=10596
ji qi 	機器	c=15 d=2.14607 t=10596
ji qi shang 	機器上	c=2 d=0.265803 t=10596
ji xu 	繼續	c=6 d=0.852144 t=10596
ji zhong 	集中	c=1 d=5.30206e-07 t=10596
jia 	加	c=6 d=0.112478 t=10596
jia 	家	c=1 d=0.111917 t=10596
jia ban 	加班	c=0 d=0.0726149 t=10596
jia dao 	加到	c=2 d=0.000949097 t=10596
jia de 	加的	c=2 d=0.0569831 t=10596
jia ge 	加個	c=5 d=0.268335 t=10596
jia gou 	架構	c=1 d=0.0105672 t=10596
jia le 	加了	c=0 d=0.00107807 t=10596
jia le 	嫁了	c=1 d=0.0107807 t=10596
jia le ge 	加了個	c=1 d=0.0108347 t=10596
jia li 	家裏	c=1 d=0.66034 t=10596
jia ru 	加入	c=20 d=1.71337 t=10596
jia zai 	加載	c=11 d=0.273938 t=10596
jia zao 	假造	c=1 d=1.52274e-06 t=10596
jian ce 	檢測	c=2 d=1.62564 t=10596
jian dian 	檢點	c=0 d=0.00366992 t=10596
jian ge 	間隔	c=1 d=0.729789 t=10596
jian kai 	見開	c=11 d=1.18831 t=10596
jian kong 	監控	c=3 d=0.603506 t=10596
jian le 	見了	c=1 d=9.21225e-05 t=10596
jian pan 	鍵盤	c=4 d=1.8197 t=10596
jian yi 	建議	c=1 d=0.08291 t=10596
jiang 	將	c=10 d=0.628135 t=10596
jiang jie 	講解	c=1 d=0.0037164 t=10596
jiao ben 	腳本	c=1 d=0.00778933 t=10596
jiao hu 	交互	c=1 d=0.0107807 t=10596
jiao jie 	交接	c=1 d=0.606531 t=10596
jie 	解	c=0 d=0.00166557 t=10596
jie chu 	解除	c=18 d=2.62862 t=10596
jie chu guo 	解除過	c=1 d=0.0170774 t=10596
jie chu le 	解除了	c=1 d=2.32355e-07 t=10596
jie dian 	節點	c=1 d=0.474734 t=10596
jie gou 	結構	c=1 d=0.0298969 t=10596
jie guo 	結果	c=1 d=0.165299 t=10596
jie hui 	結會	c=2 d=4.47618e-07 t=10596
jie jue 	解決	c=4 d=0.189236 t=10596
jie kou 	接口	c=8 d=0.414951 t=10596
jie ma 	解碼	c=0 d=0.000618889 t=10596
jie ma qi 	解碼器	c=1 d=0.00460782 t=10596
jie ru 	接入	c=0 d=0.0489192 t=10596
jie ru hao 	接入號	c=3 d=0.491644 t=10596
jie shou 	接受	c=2 d=0.168695 t=10596
jie shou 	接手	c=1 d=0.29523 t=10596
jie shou 	接收	c=1 d=0.202909 t=10596
jie shu 	結束	c=4 d=0.68744 t=10596
jie tong 	接通	c=3 d=0.0920516 t=10596
jie tu 	截圖	c=2 d=0.182684 t=10596
jie zhe ge 	解這個	c=1 d=0.0167392 t=10596
jin 	金	c=3 d=0.514274 t=10596
jin bu qu 	進不去	c=1 d=0.000710174 t=10596
jin ji 	緊急	c=2 d=0.11475 t=10596
jin kuai 	儘快	c=1 d=0.0174224 t=10596
jin lai 	進來	c=0 d=1.24994e-08 t=10596
jin liang 	儘量	c=1 d=0.017163 t=10596
jin qu 	進去	c=2 d=0.965232 t=10596
jin tian 	今天	c=24 d=1.26058 t=10596
jin yi 	金一	c=2 d=0.00394289 t=10596
jin yong 	禁用	c=1 d=0.597501 t=10596
jin zhi 	進制	c=2 d=0.0259443 t=10596
jing yin 	靜音	c=123 d=4.76966 t=10596
jiu 	就	c=73 d=2.54149 t=10596
jiu bu xing 	就不行	c=1 d=0.00166156 t=10596
jiu gai 	就該	c=1 d=0.97531 t=10596
jiu huan cheng 	就換成	c=1 d=0.0136366 t=10596
jiu hui 	就會	c=3 d=0.200331 t=10596
jiu sheng le 	就剩了	c=1 d=3.71766e-07 t=10596
jiu shi 	就是	c=53 d=1.89132 t=10596
jiu wo 	就我	c=1 d=0.0629761 t=10596
jiu xing 	就行	c=6 d=0.276684 t=10596
jiu xu yao 	就需要	c=1 d=0.00329615 t=10596
jiu yong 	就用	c=1 d=0.00752142 t=10596
jiu you 	就有	c=1 d=1.94581e-08 t=10596
jiu zhe ge 	就這個	c=2 d=0.86619 t=10596
jiu zhi dao le 	就知道了	c=1 d=0.418952 t=10596
ju 	據	c=1 d=7.87164e-09 t=10596
ju shou 	舉手	c=11 d=1.99789 t=10596
ju ti 	具體	c=16 d=1.98437 t=10596
juan 	娟	c=1 d=0.000720907 t=10596
jue ding 	決定	c=1 d=1.70861e-08 t=10596
jue se 	角色	c=6 d=0.295685 t=10596
kai 	開	c=2 d=0.522046 t=10596
kai da 	開打	c=0 d=0.013332 t=10596
kai de 	開得	c=1 d=0.00701293 t=10596
kai ge 	開個	c=1 d=0.154896 t=10596
kai hui 	開會	c=3 d=0.196613 t=10596
kai ji 	開機	c=1 d=0.00516939 t=10596
kai le 	開了	c=2 d=0.00451951 t=10596
kai qi 	開啓	c=7 d=0.548476 t=10596
kai shi 	開始	c=4 d=0.826959 t=10596
kai xia 	開下	c=5 d=0.634575 t=10596
kan 	看	c=47 d=2.46887 t=10596
kan ba 	看吧	c=2 d=0.0867261 t=10596
kan bu chu lai 	看不出來	c=1 d=0.985112 t=10596
kan bu dao 	看不到	c=1 d=0.414783 t=10596
kan chu 	看出	c=1 d=0.000133688 t=10596
kan chu lai 	看出來	c=2 d=0.07502 t=10596
kan cuo 	看錯	c=1 d=0.182684 t=10596
kan dao 	看到	c=2 d=1.28073e-08 t=10596
kan dong 	看懂	c=0 d=0.000105417 t=10596
kan dui zhan 	看堆棧	c=1 d=0.301194 t=10596
kan hai 	看海	c=0 d=0.0339596 t=10596
kan hai you wen ti 	看海有問題	c=1 d=0.341298 t=10596
kan kan 	看看	c=4 d=0.802286 t=10596
kan xia 	看下	c=47 d=0.993686 t=10596
kan zhe 	看着	c=2 d=0.0071546 t=10596
kao he 	考覈	c=2 d=0.167906 t=10596
ke 	克	c=1 d=0.650509 t=10596
ke cheng 	課程	c=1 d=0.00375375 t=10596
ke fu 	客服	c=1 d=0.752014 t=10596
ke hu 	客戶	c=5 d=0.402524 t=10596
ke hu duan 	客戶端	c=108 d=4.41343 t=10596
ke jiang 	可講	c=2 d=0.474734 t=10596
ke neng 	可能	c=10 d=0.341633 t=10596
ke qin 	克欽	c=2 d=0.189191 t=10596
ke ting 	可聽	c=2 d=0.472367 t=10596
ke yi 	可以	c=28 d=2.79746 t=10596
ken ding 	肯定	c=9 d=1.46178 t=10596
kong 	空	c=5 d=0.40657 t=10596
kong zhi 	控制	c=19 d=1.93024 t=10596
kong zhi xiang 	控制項	c=1 d=0.00078095 t=10596
ku 	庫	c=2 d=0.0173069 t=10596
kuo zhan 	擴展	c=1 d=0.0953692 t=10596
la 	啦	c=1 d=0.263158 t=10596
la ge 	啦個	c=2 d=0.276667 t=10596
la qi 	拉起	c=1 d=0.00729913 t=10596
la qu 	拉去	c=2 d=0.300631 t=10596
lai 	來	c=20 d=0.509608 t=10596
lai de 	來的	c=1 d=3.21641e-09 t=10596
lai le 	來了	c=1 d=0.802519 t=10596
lai miao 	來秒	c=1 d=0.737123 t=10596
lang fei 	浪費	c=1 d=5.08274e-10 t=10596
lao 	老	c=3 d=0.103464 t=10596
lao ban ben 	老版本	c=1 d=3.96801e-09 t=10596
lao de 	老的	c=7 d=1.4105 t=10596
lao ke hu duan 	老客戶端	c=2 d=0.106692 t=10596
lao luo ji 	老邏輯	c=1 d=0.0808629 t=10596
le 	了	c=164 d=6.26644 t=10596
lei 	磊	c=1 d=0.852144 t=10596
lei xing 	類型	c=14 d=0.384812 t=10596
li 	裏	c=0 d=0.0113042 t=10596
li an 	李安	c=0 d=0.0438235 t=10596
li an gang 	李安剛	c=1 d=0.440432 t=10596
li ji 	立即	c=2 d=0.0306538 t=10596
li mian 	裏面	c=21 d=1.4039 t=10596
li zhi 	理智	c=0 d=0.0582748 t=10596
li zhi 	離職	c=2 d=1.21049 t=10596
lian 	連	c=1 d=0.00419023 t=10596
lian jie 	連接	c=3 d=0.007864 t=10596
lian jie 	鏈接	c=2 d=0.330595 t=10596
lian wo 	連我	c=1 d=0.000889368 t=10596
lian xi 	聯席	c=2 d=0.561728 t=10596
lian xi 	聯繫	c=0 d=0.019593 t=10596
lian xi zhu chi ren 	聯繫主持人	c=1 d=0.196912 t=10596
liang 	良	c=1 d=0.106992 t=10596
liang ci 	兩次	c=5 d=1.31746 t=10596
liang dian 	亮點	c=1 d=0.231078 t=10596
liang dian 	兩點	c=1 d=0.232236 t=10596
liang ge 	兩個	c=11 d=0.310386 t=10596
liang hang 	兩行	c=1 d=0.0104099 t=10596
lie biao 	列表	c=1 d=1.46682e-07 t=10596
lie le 	列了	c=0 d=0.000802655 t=10596
lie xing 	裂行	c=1 d=0.843665 t=10596
lin shi 	臨時	c=6 d=0.0477387 t=10596
ling 	另	c=1 d=0.000112788 t=10596
ling ge 	另個	c=1 d=0.123687 t=10596
ling ge 	零個	c=1 d=0.12307 t=10596
ling ling 	玲玲	c=1 d=0.170333 t=10596
ling mu 	鈴木	c=1 d=0.0119742 t=10596
liu 	劉	c=1 d=0.0494109 t=10596
liu 	留	c=0 d=3.72792e-11 t=10596
liu cheng 	流程	c=2 d=0.0137057 t=10596
liu hui jie 	劉惠傑	c=1 d=0.000854495 t=10596
liu kong 	流控	c=1 d=0.0057994 t=10596
liu kong 	留空	c=1 d=0.00577048 t=10596
liu meng 	劉孟	c=3 d=1.25002 t=10596
liu ren 	劉仁	c=9 d=0.964247 t=10596
liu tong qing 	劉同慶	c=7 d=1.02652 t=10596
liu yi ge 	留一個	c=1 d=3.74661e-10 t=10596
lu 	路	c=3 d=0.572769 t=10596
lu jing 	路徑	c=2 d=0.00606634 t=10596
lu mian 	路面	c=0 d=0.0847894 t=10596
lu zhi 	錄製	c=4 d=0.191522 t=10596
lun tai 	輪胎	c=4 d=2.70721 t=10596
luo di 	落地	c=1 d=8.40029e-09 t=10596
luo ji 	邏輯	c=39 d=2.08592 t=10596
ma 	嗎	c=39 d=3.68428 t=10596
ma 	碼	c=6 d=0.133718 t=10596
ma 	馬	c=1 d=0.66365 t=10596
ma ji si 	榪吉斯	c=1 d=0.941765 t=10596
ma ji si 	瑪吉斯	c=2 d=1.94128 t=10596
ma lv 	碼率	c=1 d=0.0112206 t=10596
ma shang 	馬上	c=1 d=0.344728 t=10596
mai de 	買的	c=1 d=0.0157644 t=10596
man 	慢	c=1 d=1.26861e-05 t=10596
man le 	慢了	c=2 d=4.10808e-05 t=10596
mao hao 	冒號	c=1 d=0.67032 t=10596
me 	麼	c=88 d=3.15753 t=10596
me reng en 	麼仍恩	c=1 d=0.0614212 t=10596
mei 	梅	c=1 d=0.063609 t=10596
mei 	沒	c=4 d=0.465371 t=10596
mei cha 	沒查	c=1 d=0.00509243 t=10596
mei chu bao 	沒出包	c=1 d=2.2106e-09 t=10596
mei ci 	每次	c=1 d=0.579842 t=10596
mei cuo 	沒錯	c=1 d=0.0116786 t=10596
mei de 	沒得	c=1 d=0.687289 t=10596
mei duo da 	沒多大	c=1 d=0.110251 t=10596
mei fa 	沒法	c=14 d=0.905846 t=10596
mei fa cha 	沒法查	c=1 d=0.0305009 t=10596
mei gai 	沒改	c=1 d=0.00532682 t=10596
mei gan 	沒敢	c=1 d=0.00423234 t=10596
mei gao dong 	沒搞懂	c=1 d=0.000629868 t=10596
mei ge 	每個	c=5 d=0.0188031 t=10596
mei guan xi 	沒關係	c=2 d=0.40657 t=10596
mei ju 	枚舉	c=1 d=0.00941925 t=10596
mei kan 	沒看	c=4 d=0.0811955 t=10596
mei kan chu lai 	沒看出來	c=1 d=0.000124028 t=10596
mei kan dong 	沒看懂	c=1 d=0.00105946 t=10596
mei lai 	沒來	c=0 d=0.000355287 t=10596
mei lai de 	沒來的	c=1 d=0.00357068 t=10596
mei le 	沒了	c=1 d=2.83751e-05 t=10596
mei nong hao 	沒弄好	c=1 d=0.425283 t=10596
mei pan kong 	沒判空	c=1 d=0.463013 t=10596
mei sha 	沒啥	c=1 d=0.000925663 t=10596
mei shang 	沒上	c=2 d=0.00980366 t=10596
mei shang xian 	沒上線	c=2 d=0.00114769 t=10596
mei sheng 	沒升	c=0 d=3.56206e-05 t=10596
mei sheng ji 	沒升級	c=1 d=0.000357992 t=10596
mei shi 	沒事	c=1 d=0.339596 t=10596
mei wen ti 	沒問題	c=5 d=1.34551 t=10596
mei yin xiang 	沒印象	c=1 d=0.0575558 t=10596
mei yong 	沒用	c=1 d=3.56388e-10 t=10596
mei you 	沒有	c=131 d=4.66118 t=10596
mei you le 	沒有了	c=1 d=0.546074 t=10596
mei you wen ti 	沒有問題	c=1 d=0.00124951 t=10596
mei zai 	沒再	c=1 d=0.00562801 t=10596
mei zai 	沒在	c=1 d=0.113042 t=10596
men 	門	c=1 d=1 t=10590
mi ma 	密碼	c=5 d=0.012507 t=10596
miao 	秒	c=2 d=0.0461896 t=10596
miao shu 	描述	c=6 d=0.35595 t=10596
miao zhong 	秒鐘	c=1 d=0.951229 t=10596
ming ling 	命令	c=2 d=0.344728 t=10596
ming que 	明確	c=1 d=1.0209e-08 t=10596
ming tian 	明天	c=8 d=0.67074 t=10596
mo kuai 	模塊	c=1 d=0.0269169 t=10596
mo ni 	模擬	c=1 d=0.0198411 t=10596
mo ren 	默認	c=8 d=0.460704 t=10596
mo shi 	模式	c=11 d=0.54136 t=10596
mo tuo 	摩托	c=3 d=2.62314 t=10596
mu biao 	目標	c=3 d=0.131994 t=10596
na 	拿	c=2 d=0.0347353 t=10596
na 	那	c=37 d=0.637628 t=10596
na ba 	那把	c=1 d=3.51082e-10 t=10596
na bian 	那邊	c=10 d=0.433503 t=10596
na ci 	哪次	c=2 d=0.114093 t=10596
na ci 	那次	c=1 d=0.0706512 t=10596
na dao 	拿到	c=1 d=0.00160441 t=10596
na duan 	那段	c=1 d=0.00162053 t=10596
na ge 	哪個	c=22 d=0.998151 t=10596
na ge 	那個	c=31 d=3.0194 t=10596
na ji ge 	那幾個	c=1 d=0.00126207 t=10596
na jiu 	那就	c=1 d=4.62211e-10 t=10596
na li 	哪裏	c=1 d=6.54215e-09 t=10596
na me 	那麼	c=1 d=0.000992781 t=10596
na ni rang 	那你讓	c=1 d=0.806541 t=10596
na tai 	哪臺	c=1 d=4.47392e-09 t=10596
na tian 	那天	c=2 d=0.0459593 t=10596
na wo 	那我	c=3 d=0.941765 t=10596
na xie 	哪些	c=2 d=0.00843808 t=10596
na xie 	那些	c=1 d=0.00369786 t=10596
na ye 	那也	c=1 d=0.0378169 t=10596
na zhe ge 	拿這個	c=1 d=0.000572785 t=10596
ne 	呢	c=17 d=1.77847 t=10596
nei 	內	c=2 d=0.0301974 t=10596
nei bu 	內部	c=3 d=3.36684e-06 t=10596
nei rong 	內容	c=2 d=0.00231169 t=10596
nei wang 	內網	c=3 d=0.0537163 t=10596
neng 	能	c=29 d=1.78534 t=10596
neng gei 	能給	c=2 d=1.89442e-09 t=10596
neng ting dao 	能聽到	c=1 d=0.00129402 t=10596
neng yong 	能用	c=1 d=0.000214973 t=10596
ni 	你	c=107 d=2.78568 t=10596
ni ba 	你把	c=4 d=0.270381 t=10596
ni bang 	你幫	c=5 d=1.34401 t=10596
ni bang wen xia 	你幫問下	c=1 d=0.311923 t=10596
ni bao 	你報	c=1 d=0.00134683 t=10596
ni ce shi 	你測試	c=1 d=0.000293099 t=10596
ni fa 	你發	c=1 d=1.99507e-08 t=10596
ni gan jue 	你感覺	c=1 d=0.0174224 t=10596
ni gen 	你跟	c=1 d=8.56853e-07 t=10596
ni hao ma 	你好嗎	c=11 d=9.25737 t=10596
ni ji dian 	你幾點	c=1 d=0.0437178 t=10596
ni kan xia 	你看下	c=2 d=0.109154 t=10596
ni ke yi 	你可以	c=2 d=3.90344e-08 t=10596
ni mei fa 	你沒法	c=1 d=1.86501e-09 t=10596
ni men 	你們	c=4 d=0.559898 t=10596
ni ming 	匿名	c=1 d=0.00767337 t=10596
ni qing jia 	你請假	c=1 d=0.044601 t=10596
ni quan ti 	你全體	c=1 d=0.740818 t=10596
ni shi xia 	你試下	c=1 d=0.224249 t=10596
ni shuo 	你說	c=2 d=0.763379 t=10596
ni wen xia 	你問下	c=7 d=1.2986 t=10596
ni xian 	你先	c=2 d=0.0158434 t=10596
ni xian rang 	你先讓	c=1 d=0.0858632 t=10596
ni yao 	你要	c=2 d=0.951229 t=10596
ni zai 	你在	c=2 d=0.365197 t=10596
ni zhao 	你找	c=1 d=0.00197932 t=10596
ni zhao xia 	你找下	c=1 d=0.000867409 t=10596
ni zhe ge 	你這個	c=1 d=0.324652 t=10596
ni zhi jie 	你直接	c=1 d=0.00532682 t=10596
nong 	弄	c=0 d=3.12783e-05 t=10596
nong fan le 	弄反了	c=1 d=0.000314351 t=10596
nong hao 	弄好	c=1 d=0.0423162 t=10596
nong qing chu 	弄清楚	c=1 d=5.00707e-10 t=10596
o 	哦	c=3 d=0.736969 t=10596
pai chu 	排除	c=0 d=0.00213864 t=10596
pai chu le 	排除了	c=1 d=0.0214936 t=10596
pan 	盼	c=1 d=0.0224829 t=10596
pan ding 	判定	c=0 d=0.00071546 t=10596
pan ding de 	判定的	c=1 d=0.00719046 t=10596
pan duan 	判斷	c=11 d=0.465878 t=10596
pan kong 	判空	c=1 d=0.000717312 t=10596
pao 	拋	c=3 d=0.00489275 t=10596
pao 	跑	c=1 d=0.960789 t=10596
pao chu 	拋出	c=1 d=1.66241e-09 t=10596
pei xun 	培訓	c=1 d=0.00360656 t=10596
pei zhi 	配置	c=12 d=1.15515 t=10596
pei zhi xiang 	配置項	c=3 d=0.071719 t=10596
pin fan 	頻繁	c=2 d=0.0258149 t=10596
ping bi 	屏蔽	c=6 d=1.92813 t=10596
ping lu 	平陸	c=1 d=0.843665 t=10596
ping lun 	評論	c=3 d=2.54421 t=10596
ping mu 	屏幕	c=1 d=1.17431e-08 t=10596
ping tai 	平臺	c=16 d=0.0170639 t=10596
pu tong 	普通	c=5 d=1.16818 t=10596
qi 	器	c=2 d=0.19288 t=10596
qi chuan 	氣喘	c=0 d=0.0657047 t=10596
qi dong 	啓動	c=1 d=1.03865e-05 t=10596
qi jian 	期間	c=1 d=0.167797 t=10596
qi ma 	起碼	c=1 d=0.0288686 t=10596
qi ta 	其他	c=34 d=0.609704 t=10596
qi zuo yong 	起作用	c=1 d=0.0250972 t=10596
qian 	前	c=7 d=0.790571 t=10596
qian 	簽	c=1 d=0.0147723 t=10596
qian ji 	前幾	c=0 d=4.34096e-08 t=10596
qian ji ci 	前幾次	c=1 d=4.36272e-07 t=10596
qian liang tian 	前兩天	c=1 d=0.00286554 t=10596
qian ti 	前提	c=1 d=0.00271219 t=10596
qian ti xia 	前提下	c=1 d=0.00427488 t=10596
qiao 	橋	c=0 d=7.61668e-05 t=10596
qie huan 	切換	c=22 d=0.0839457 t=10596
qie huan hou 	切換後	c=1 d=0.0194482 t=10596
qie huan shu ru fa 	切換輸入法	c=1 d=0.843665 t=10596
qin 	秦	c=13 d=0.71177 t=10596
qin fei 	秦菲	c=26 d=1.48712 t=10596
qing 	請	c=0 d=0.000120654 t=10596
qing chu 	清楚	c=8 d=1.14926 t=10596
qing jia 	請假	c=1 d=0.0325937 t=10596
qing kuang 	情況	c=3 d=0.0596149 t=10596
qing qing 	輕輕	c=1 d=0.241714 t=10596
qing qiu 	請求	c=21 d=0.781022 t=10596
qing wen xia 	請問下	c=1 d=0.00121259 t=10596
qiu 	求	c=2 d=0.0729253 t=10596
qu 	去	c=22 d=1.16571 t=10596
qu bie 	區別	c=1 d=0.909373 t=10596
qu chu 	去除	c=5 d=0.357007 t=10596
qu diao 	去掉	c=3 d=0.873716 t=10596
qu fen 	區分	c=5 d=0.0251037 t=10596
qu le 	去了	c=1 d=0.0668703 t=10596
qu shou 	癯瘦	c=1 d=0.00179097 t=10596
qu xia 	取下	c=0 d=9.12348e-11 t=10596
qu xiao 	取消	c=3 d=0.113612 t=10596
quan 	全	c=2 d=0.564451 t=10596
quan bu 	全部	c=1 d=0.50409 t=10596
quan ju 	全局	c=3 d=0.00843808 t=10596
quan shi 	全時	c=1 d=0.00219846 t=10596
quan shi yun hui yi 	全時雲會議	c=1 d=0.657047 t=10596
quan ti 	全體	c=35 d=2.38937 t=10596
quan xian 	權限	c=10 d=0.771291 t=10596
que bao 	確保	c=2 d=2.53142e-06 t=10596
que ding 	確定	c=4 d=0.431711 t=10596
que ding xia 	確定下	c=1 d=0.000365224 t=10596
que ren 	確認	c=8 d=0.536203 t=10596
qun li 	羣裏	c=1 d=3.38949e-08 t=10596
ran hou 	然後	c=3 d=0.0204562 t=10596
rang 	讓	c=40 d=1.38763 t=10596
rang liu tong qing 	讓劉同慶	c=1 d=0.790571 t=10596
re rong 	熱容	c=0 d=0.0927743 t=10596
ren 	人	c=25 d=1.05015 t=10596
ren shi 	認識	c=2 d=0.00922879 t=10596
ren wu 	任務	c=1 d=0.0507928 t=10596
ren zhen 	認真	c=1 d=0.142274 t=10596
ren zheng 	認證	c=6 d=0.962471 t=10596
ri 	日	c=2 d=0.965605 t=10596
ri me 	日麼	c=1 d=0.00257991 t=10596
ri zhi 	日誌	c=54 d=5.5542 t=10596
rong he 	融合	c=3 d=0.72923 t=10596
rong qi 	容器	c=2 d=0.697683 t=10596
rong qi hua 	容器話	c=2 d=0.51285 t=10596
ru 	入	c=4 d=0.173863 t=10596
ru guo 	入過	c=1 d=0.0116203 t=10596
ru guo 	如果	c=17 d=0.568909 t=10596
ru hui 	入會	c=23 d=2.13731 t=10596
ru hui le 	入會了	c=1 d=0.524663 t=10596
ru xia hui 	入下會	c=1 d=0.0773047 t=10596
ruan jian 	軟件	c=1 d=0.00472447 t=10596
san zhong 	三種	c=2 d=0.00107919 t=10596
sen 	森	c=1 d=0.904837 t=10596
sha 	啥	c=18 d=0.265806 t=10596
sha che 	剎車	c=0 d=0.0774916 t=10596
sha dou 	啥都	c=1 d=0.00394621 t=10596
